"","date","n"
"1",2013-01-01,6
"2",2013-01-02,1
"3",2013-01-03,3
"4",2013-01-04,6
"5",2013-01-05,6
"6",2013-01-06,4
"7",2013-01-07,3
"8",2013-01-08,2
"9",2013-01-09,3
"10",2013-01-10,3
"11",2013-01-11,4
"12",2013-01-12,5
"13",2013-01-13,6
"14",2013-01-14,3
"15",2013-01-15,4
"16",2013-01-16,5
"17",2013-01-17,5
"18",2013-01-18,6
"19",2013-01-19,1
"20",2013-01-21,2
"21",2013-01-22,4
"22",2013-01-23,1
"23",2013-01-24,4
"24",2013-01-25,4
"25",2013-01-27,3
"26",2013-01-28,4
"27",2013-01-29,4
"28",2013-01-30,2
"29",2013-01-31,1
"30",2013-02-01,1
"31",2013-02-02,1
"32",2013-02-03,1
"33",2013-02-04,1
"34",2013-02-05,1
"35",2013-02-07,2
"36",2013-02-08,3
"37",2013-02-09,4
"38",2013-02-10,1
"39",2013-02-11,3
"40",2013-02-12,2
"41",2013-02-13,2
"42",2013-02-14,1
"43",2013-02-15,1
"44",2013-02-16,3
"45",2013-02-17,1
"46",2013-02-18,3
"47",2013-02-19,4
"48",2013-02-20,1
"49",2013-02-21,4
"50",2013-02-22,2
"51",2013-02-23,3
"52",2013-02-24,2
"53",2013-02-25,3
"54",2013-02-26,3
"55",2013-02-28,3
"56",2013-03-01,3
"57",2013-03-02,4
"58",2013-03-03,2
"59",2013-03-04,3
"60",2013-03-05,3
"61",2013-03-06,2
"62",2013-03-07,3
"63",2013-03-08,6
"64",2013-03-09,1
"65",2013-03-10,8
"66",2013-03-12,4
"67",2013-03-13,5
"68",2013-03-14,5
"69",2013-03-15,4
"70",2013-03-16,3
"71",2013-03-17,2
"72",2013-03-18,4
"73",2013-03-19,6
"74",2013-03-20,1
"75",2013-03-21,5
"76",2013-03-22,3
"77",2013-03-23,2
"78",2013-03-24,1
"79",2013-03-25,3
"80",2013-03-26,2
"81",2013-03-27,2
"82",2013-03-28,2
"83",2013-03-29,3
"84",2013-03-30,3
"85",2013-03-31,3
"86",2013-04-01,3
"87",2013-04-02,3
"88",2013-04-04,3
"89",2013-04-05,1
"90",2013-04-06,1
"91",2013-04-07,3
"92",2013-04-08,3
"93",2013-04-09,4
"94",2013-04-10,5
"95",2013-04-11,3
"96",2013-04-12,2
"97",2013-04-13,2
"98",2013-04-15,2
"99",2013-04-17,3
"100",2013-04-18,5
"101",2013-04-19,5
"102",2013-04-20,6
"103",2013-04-21,2
"104",2013-04-22,6
"105",2013-04-23,4
"106",2013-04-24,3
"107",2013-04-25,3
"108",2013-04-26,2
"109",2013-04-27,7
"110",2013-04-28,2
"111",2013-04-29,5
"112",2013-04-30,6
"113",2013-05-01,6
"114",2013-05-02,4
"115",2013-05-03,1
"116",2013-05-04,4
"117",2013-05-05,2
"118",2013-05-06,1
"119",2013-05-07,3
"120",2013-05-08,3
"121",2013-05-09,4
"122",2013-05-10,6
"123",2013-05-11,2
"124",2013-05-12,3
"125",2013-05-13,1
"126",2013-05-14,3
"127",2013-05-15,4
"128",2013-05-16,5
"129",2013-05-17,6
"130",2013-05-18,4
"131",2013-05-19,1
"132",2013-05-20,5
"133",2013-05-21,1
"134",2013-05-22,4
"135",2013-05-23,4
"136",2013-05-24,5
